"idx","ICD10_explo",".cases_num"
1,"E78",47240
2,"Z92",41524
3,"R07",38860
4,"K29",37416
5,"K57",36408
6,"K44",34642
7,"Z88",33985
8,"I25",32926
9,"J45",32855
10,"K21",31407
11,"Z51",29998
12,"K62",28100
13,"I84",27894
14,"M17",25905
15,"Z96",25454
16,"E11",25410
17,"Y83",22559
18,"I20",22491
19,"Z90",20771
20,"R19",20035
21,"I48",19554
22,"K63",19465
23,"K40",18803
24,"K52",18573
25,"E03",18276
26,"K80",17423
27,"D12",17096
28,"E66",16779
29,"Z95",16581
30,"K59",15328
31,"M16",15130
32,"C44",14388
33,"N81",13401
34,"J18",13082
35,"K92",12738
36,"K22",12579
37,"I83",12331
38,"C50",12108
39,"N84",12050
40,"R06",11992
41,"D25",11904
42,"J44",11762
43,"M75",11460
44,"M20",11347
45,"R00",11315
46,"B96",11302
47,"I21",10595
48,"K31",10154
49,"M54",10141
50,"M19",9735
51,"M51",9455
52,"L72",9386
53,"L03",9077
54,"E87",8504
55,"N17",8120
56,"N18",7873
57,"I50",7800
58,"Z91",7694
59,"D17",7624
60,"M13",7624
61,"J34",7432
62,"I95",7362
63,"K58",7108
64,"C77",7015
65,"G47",6922
66,"L98",6862
67,"I51",6387
68,"C78",6341
69,"Z46",6282
70,"N20",5743
71,"M15",5711
72,"K25",5479
73,"Z50",5433
74,"I44",5363
75,"R50",5302
76,"D22",5291
77,"K56",5211
78,"M81",5184
79,"C79",5027
80,"K76",4967
81,"J98",4957
82,"I73",4930
83,"I80",4886
84,"I26",4756
85,"K42",4706
86,"Z98",4671
87,"D23",4663
88,"M67",4544
89,"K66",4450
90,"I63",4437
91,"H91",4321
92,"M79",4265
93,"K43",4233
94,"Z45",4145
95,"M23",4136
96,"I47",4063
97,"Z47",3860
98,"K26",3820
99,"K60",3779
100,"Z93",3777
101,"C18",3759
102,"K51",3740
103,"I67",3646
104,"R20",3614
105,"J33",3610
106,"I49",3596
107,"N30",3584
108,"I35",3552
109,"E10",3541
110,"M06",3475
111,"M72",3450
112,"E14",3350
113,"K08",3299
114,"K35",3261
115,"L90",3240
116,"I34",3216
117,"K81",3209
118,"G45",3208
119,"L57",3190
120,"K64",3184
121,"I45",3157
122,"E83",3143
123,"Y43",3054
124,"C34",3048
125,"Y84",2991
126,"M25",2978
127,"L40",2944
128,"J32",2909
129,"L02",2884
130,"M65",2844
131,"Z42",2819
132,"M10",2793
133,"M35",2722
134,"J96",2625
135,"I08",2605
136,"C43",2598
137,"K83",2591
138,"M47",2591
139,"C67",2576
140,"R22",2530
141,"K90",2498
142,"D05",2484
143,"Z99",2463
144,"K85",2429
145,"J43",2421
146,"E05",2383
147,"D69",2270
148,"K82",2202
149,"Z43",2155
150,"L30",2129
151,"G93",2064
152,"I24",2059
153,"I71",2031
154,"J38",2020
155,"E04",2017
156,"K50",1978
157,"N60",1970
158,"K91",1958
159,"M50",1894
160,"D18",1820
161,"I77",1784
162,"I12",1763
163,"M18",1752
164,"G62",1717
165,"Z48",1710
166,"I69",1685
167,"I42",1662
168,"E89",1660
169,"N87",1649
170,"L08",1603
171,"K61",1530
172,"K86",1527
173,"J84",1497
174,"D13",1492
175,"J30",1489
176,"L89",1483
177,"C85",1481
178,"C54",1471
179,"I31",1469
180,"M70",1465
181,"Z97",1458
182,"R01",1447
183,"K55",1428
184,"D37",1411
185,"I46",1404
186,"E16",1400
187,"R09",1376
188,"Y45",1376
189,"N99",1339
190,"Z94",1278
191,"L60",1276
192,"I65",1274
193,"L91",1267
194,"I27",1200
195,"D68",1159
196,"D35",1145
197,"K74",1145
198,"I74",1114
199,"J92",1095
200,"C83",1092
201,"J35",1087
202,"Y42",1086
203,"J93",1065
204,"M22",1059
205,"E21",1054
206,"K70",1044
207,"M77",1033
208,"I61",1025
209,"J31",1025
210,"K65",1023
211,"M48",1017
